5,최고예요
5,좋아요
5,위치도 좋고 인테리어도 이쁘고
5,생각보다 더 이쁜듯하네요
5,청소상태가 깔끔하고 주인아주머니가 친절하셔서 편히 쉬다 왔습니다 번 청하십시오
5,위치 괜찮고 시설도 홈페이지에 나온 대로 괜찮네요
5,여자친구와 다녀왔는데 객실도 예쁘고 날씨도 좋아서 만족스러운 여행이었습니다 커플이시라면 기회가 되면 찾아가 보시길
5,너무너무 좋은 펜션 최고
5,최고예요
5,경포대 쪽 가는 분들에게 강추해드려요 여기 정말 좋습니다 ㅎㅎㅎ
5,최고예요
5,여자친구랑 여행 갔었는데 펜션 찾다가 시설 깔끔해서 예약했는데 정말 깔끔하고 사장님 주변 관광지하고 맛집 알려주셔서 재미있게 다녀왔네요 사장님 이제는 결혼해서 와이프에요 감사했습니다
5,가족끼리 시간 맞춰 간 여행 재밌게 오래간만에 힐링하고 갑니다 날씨도 꽤 좋았어요
5,시원한 바닷바람 맞으려고 방문했습니다 운 좋게 바람은 시원하고 햇살은 따듯한 날씨여서 정말 좋았습니다 정말 아무것도 안 하고 펜션에서 쉬기만 했는데 시간 가는 줄 몰랐네요 잘 쉬다가 갑니다
5,펜션이 진짜 깨끗하고 좋아요 다음에 또 오려고요 해 모루 펜션 짱
5,강릉 놀러 가신 분들에게 정말 강추합니다 이번 설 연휴 때 갔다 왔는데 정말 깔끔하고 바다 보면서 힐링하다 갑니다
5,시원한 바닷바람 맞으면서 잘 쉬다 갑니다 속이 뻥 뚫리네요 확실히 공기도 좋고 경치도 좋아서 힐링하고 갑니다
5,여자친구랑 같이 강릉 다녀왔는데 방도 깨끗하고 사장님께서 너무 친절하셔서 여행 즐겁게 다녀왔네요 여름에 또 놀러 갈게요
5,여행 갈 때마다 바닷가 보이는 펜션으로 가려는 여자친구 때문에 예약했는데 정말 잘 쉬고 잘 놀다 갑니다 번창하세요
5,여자친구랑 강원도로 처음 여행 떠났는데 즐거운 여행이었습니다 여자친구도 펜션 너무 이쁘다고 좋아하네요
5,새벽기차 타고 여자친구랑 박 일로 놀러 갔는데 방도 깔끔하고 바다랑도 가까워서 너무 좋았어요 너무 재미있게 쉬다가요
5,강릉 여행 계획 짜면서 여자친구랑 펜션을 이곳저곳 많이 알아보다가 예약하게 된 아트인 헤븐 펜션 객실도 깔끔하고 좋았어요
5,방도 깨끗하고 인테리어랑 전경이 좋은 곳입니다 좋은 추억 만들고 갑니다
5,여자친구랑 같이 갔던 아트인 헤븐 펜션 커플펜션으로 어디가 좋을까 이곳저곳 많이 찾아보다가 가게 된 곳인데 대만족 방이 깔끔하고 넓어서 좋았어요
5,여자친구랑 다녀왔는데 너무 이쁜 거 같아요 강릉에 있는 펜션 중 제일 이쁜 거 같아요 번창하세요
5,가족끼리 이번 휴가 때 가려고 합니다 작년에 친구들끼리 갔었는데 좋은 기억이 있어서 올해에는 가족끼리 가려고 합니다
5,펜션이 너무 이뻐요 여자친구가 너무 좋아하더라고요 사장님도 너무 좋으시고 즐거운 추억 만들어 갑니다
5,완전 짱짱짱
5,깔끔하고 냄새도 안 나요 화장실이 방과 분리돼있고 넓어서 좋았어요
5,가격 대비 진짜 완전 만족 외관은 허름해 보이나 실내는 깨끗 카운터 보시는 분들 다들 친절 연박 이용
5,친절하고 깔끔합니다 주차시설 완비 터미널도 가까움 구성비 최고
5,편안히 잘 자고 왔어요
5,출장으로 며칠 있었는데 시설도 깨끗하고 청결해서 잘 쉬다 갑니다 다음 출장 때 이용의 사 있음
5,침구류가 너무 깨끗해요
5,깨끗하고 주차하기 좋네요
5,금액 대비 시설 만족합니다 ㅎㅎ 버스터미널과도 가까워서 도보로 이동하시는 분들한테 좋을 듯 여자
5,너무 예쁜 게스트하우스 친절한 사장님과 너무나 맛있는 조식 강릉과 강릉의 역사를 지척에서 경험할 수 있는 너무나도 완벽한 여행이었습니다
5,사장님도 좋으시고 숙소도 깔끔하고 너무 예뻐요 따뜻하게 잘 자고 잘 쉬고 왔습니다 추천해요
5,엄청 좋아유 우우
5,깔끔하고 인테리어도 좋아요 위치도 적당 도미토리 이용했는데 다음에는 일행과 함께 오고 싶음
5,너무 좋았던 곳 다음에 강릉 갈 때도 무조건 여기로
5,깨끗하니 좋아요 침구류부터 방도 욕실도 전부 깔끔해요 방도 따뜻해서 편히 푹 쉬다가 갑니다
5,가격도 좋고 리모델링 돼서 깨끗하고 공기청정기 있고 여사장님이 정말 친절하심 주차 좋음
5,주말에 다녀왔는데 생각 그 이상으로 내부가 깔끔해서 너무 좋았어요 공기청정기는 물론이거니와 욕실도 깨끗하고 너무 만족했어요 추천드려요
5,혹시 달방 있나요
5,다른 곳처럼 시끄럽지도 않고 조용해서 좋았고요 세심하게 준비해놓은 예술관 모습이 좋았어요 또 가고파요
5,강릉역에서 가까이 있고 깨끗했어요 친절하신 사장님도 좋았습니다 화장실 겸 욕실이 조금 작긴 하지만 나름 괜찮았고 객실 안에 있어서 편했답니다 번창하세요 추천요
5,정말 기억에 남는 게스트하우스였네요 사장님도 친절하시고 관광명소나 맛 집도 추천해주시는데 신뢰도 숙소도 조용하고 따뜻한 물도 너무나 잘 나오고 각 침대별 장판도 깔려있어 따뜻했음 다만 주차장이 협소
5,강릉역과 중앙시장 가까이 있어 걸어서 다닐 수 있어서 좋았습니다 유명한 교동반점도 분 거리에 있더군요 화장실 겸 욕실이 작긴 해도 공용이 아니라 편했답니다 오래간만에 즐거운 여행했네요
5,최고예요
5,시설이 그렇게 좋은 편은 아니지만 금액 대비 만족함
5,가격이랑 위치 퀄 다 좋아요
5,매점이 좀 부실하지만 다른 카라반에 비하여 최고입니다 둑을 따라 걷는 길 좋아요캬라반도 새 거고 전반적으로 만족
